label,agricult,industry,services
depr,0.00000,0.00000,0.00000
itax,0.01000,0.03920,0.05000
gles,0.02000,0.07000,0.91000
kio,0.13000,0.29000,0.58000
dstr,0.00000,0.00000,0.00000
te,0.00000,0.00000,0.00000
tm,0.10000,0.22751,0.08084
ad,0.61447,1.60111,0.52019
pwts,0.33263,0.43486,0.23251
pwm,0.90909,0.81466,0.92521
pwe,1.00000,1.00000,1.00000
sigc,2.00000,0.66000,0.40000
delta,0.24820,0.05111,0.00001
ac,1.59539,1.34652,1.01839
sigt,2.00000,2.00000,2.00000
gamma,0.86628,0.84602,0.82436
at,3.85424,3.51886,3.23592
